Pos_Score,Neg_Score,d_word_count,Pro_Count,Tone,Tone_Score,T_12<=4,depressed
0.50,-0.57,1.50,2.17,4,0.94,1,1
1.90,-3.01,0.08,0.88,1,0.64,1,1
8.01,-5.45,0.13,0.64,4,0.92,0,1
0.48,0.00,0.00,1.00,1,0.88,0,1
2.34,-2.00,0.32,0.77,4,0.84,0,1
2.77,-1.79,0.16,0.95,7,0.81,0,1
0.00,-1.05,0.50,1.67,4,0.92,1,1
5.47,-0.18,0.13,0.63,1,0.93,0,1
3.17,-1.10,0.04,0.24,6,0.66,0,1
0.00,-0.80,0.00,1.00,5,0.75,0,1
9.43,-4.07,0.00,0.57,1,0.70,1,1
0.00,0.00,0.00,1.00,7,0.64,0,1
1.28,-0.60,0.00,1.00,3,0.86,0,1
9.80,-15.66,0.01,1.27,4,0.90,0,1
1.62,-1.46,0.11,1.44,4,0.98,1,1
0.30,0.00,0.00,1.00,2,0.88,0,1
0.20,0.00,0.00,2.00,7,0.67,0,1
2.21,-3.13,0.16,1.89,4,0.81,1,1
0.47,-1.75,0.22,2.67,5,0.81,0,1
2.44,-0.60,0.00,1.67,1,0.79,0,1
0.20,-0.34,0.00,2.50,7,0.63,0,1
0.99,-1.70,0.11,1.00,4,0.97,1,1
1.50,0.00,0.00,1.91,3,0.65,0,1
10.42,-9.01,0.16,0.93,4,0.83,0,1
5.10,-4.95,0.21,0.81,7,0.72,0,1
5.85,-1.76,0.07,0.71,1,0.77,0,1
3.07,-4.09,0.32,1.75,4,0.84,0,1
7.61,-0.65,0.10,0.74,1,0.81,0,1
5.62,-2.42,0.09,1.07,4,0.90,0,1
3.70,-7.18,0.12,1.12,4,0.90,1,1
3.60,-4.44,0.15,0.78,7,0.83,1,1
0.00,0.00,0.00,0.00,1,0.56,1,1
6.97,-5.74,0.31,1.43,4,0.86,0,1
1.16,-4.38,0.13,1.06,4,0.91,0,1
3.82,-0.90,0.07,0.61,1,0.76,0,1
0.50,-0.40,0.00,1.00,7,0.60,1,1
7.93,-5.56,0.44,0.52,7,0.77,1,1
3.88,-2.09,0.38,1.04,4,0.90,0,1
10.51,-0.58,0.07,0.09,3,0.81,0,1
36.12,-6.77,0.05,0.06,6,0.77,1,1
7.77,-0.45,0.08,0.03,3,0.80,0,1
11.50,-9.05,0.27,1.35,4,0.90,0,1
5.45,-4.36,0.15,1.94,7,0.84,0,1
5.01,-4.72,0.22,1.50,4,0.91,0,1
12.65,-2.33,0.02,0.48,1,0.82,0,1
3.71,-1.56,0.07,0.33,5,0.72,1,1
3.15,-2.45,0.00,0.56,4,0.86,0,1
6.48,-11.08,0.10,1.38,4,0.87,0,1
11.36,-10.39,0.07,1.11,4,0.92,0,1
5.67,-3.11,0.07,1.23,4,0.90,0,1
2.48,-3.36,0.15,2.21,4,0.85,0,1
2.82,-0.70,0.25,0.83,7,0.75,0,1
7.38,-3.51,0.22,0.72,3,0.83,0,1
1.36,-0.70,0.36,0.64,7,0.79,0,1
5.73,-5.71,0.35,1.38,4,0.89,0,1
1.27,-2.12,0.39,2.30,4,0.85,1,1
1.55,-1.21,0.29,1.57,3,0.82,0,1
1.20,0.00,0.00,0.00,3,0.97,0,1
1.41,-0.88,0.06,1.39,4,0.89,0,1
1.02,-0.60,0.00,1.75,2,0.75,0,1
2.14,-2.23,0.05,2.26,4,0.89,0,1
2.11,-0.10,0.07,0.57,1,0.81,0,1
8.58,-5.76,0.15,0.94,4,0.85,0,1
3.63,-6.51,0.11,0.72,7,0.72,0,1
6.51,-7.25,0.59,0.66,7,0.79,0,1
5.34,-3.66,0.56,0.80,4,0.93,0,1
5.94,-7.80,0.62,0.60,4,0.93,0,1
3.34,-3.66,0.67,1.08,4,0.88,0,1
5.14,-4.55,0.04,0.71,4,0.84,1,1
4.75,-3.72,0.11,0.71,4,0.87,0,1
6.81,-3.98,0.06,0.77,4,0.89,0,1
5.83,-5.04,0.08,0.81,4,0.89,0,1
7.01,-6.07,0.02,0.61,4,0.87,0,1
2.11,-2.21,0.00,0.82,4,0.84,0,1
6.00,-5.60,0.16,0.84,7,0.75,0,1
6.07,-4.49,0.14,0.79,7,0.76,1,1
8.19,-9.82,0.15,0.95,4,0.82,0,1
9.34,-9.37,0.20,0.98,4,0.89,0,1
8.91,-4.76,0.31,0.83,7,0.74,0,1
8.02,-2.10,0.03,0.56,3,0.88,1,1
5.82,-2.16,0.07,0.72,4,0.89,0,1
4.21,-4.22,0.05,0.61,4,0.88,0,1
3.41,-3.25,0.08,0.78,4,0.84,0,1
7.25,-1.55,0.02,0.52,4,0.87,0,1
6.61,-6.56,0.00,0.52,4,0.88,0,1
3.18,-5.79,0.05,0.74,4,0.86,0,1
1.90,-5.05,0.03,0.49,4,0.86,0,1
15.23,-6.85,0.05,0.64,4,0.88,0,1
5.71,-5.01,0.00,0.53,4,0.80,0,1
11.45,-9.13,0.03,0.78,4,0.89,0,1
8.64,-2.82,0.00,0.69,4,0.89,0,1
3.52,-2.48,0.00,0.64,4,0.90,0,1
7.15,-5.52,0.04,0.75,4,0.85,0,1
2.77,-2.70,0.00,0.68,4,0.86,0,1
4.19,-1.52,0.04,0.67,4,0.88,0,1
6.51,-4.16,0.02,0.58,4,0.88,0,1
5.04,-3.37,0.00,0.72,3,0.81,0,1
4.24,-4.79,0.11,0.79,4,0.88,0,1
4.95,-3.95,0.02,0.70,4,0.89,0,1
4.34,-2.88,0.07,0.44,4,0.93,0,1
5.62,-2.95,0.08,0.68,4,0.87,0,1
0.80,0.00,0.00,0.50,1,0.76,0,0
1.58,-0.60,0.00,0.43,1,0.76,0,0
13.05,-2.26,0.00,0.23,1,0.78,0,0
1.85,-0.75,0.00,0.30,4,0.93,0,0
1.56,0.00,0.00,0.06,1,0.79,0,0
0.88,-0.20,0.00,0.00,1,0.72,0,0
2.15,-0.28,0.00,0.29,2,0.98,0,0
0.84,-0.65,0.00,1.20,4,0.89,0,0
0.51,0.00,0.00,0.67,1,0.82,0,0
0.31,-0.07,0.00,1.33,3,0.89,0,0
13.26,-2.10,0.03,0.57,4,0.82,0,0
2.30,-0.10,0.00,0.00,2,0.96,0,0
5.06,-0.75,0.15,0.73,4,0.88,0,0
0.13,-0.50,0.00,0.00,7,0.76,0,0
6.28,-1.35,0.00,0.15,1,0.76,0,0
9.74,-1.46,0.00,0.95,1,0.82,0,0
0.00,0.00,0.00,0.00,2,0.96,0,0
6.78,-0.93,0.03,0.50,2,0.91,0,0
3.00,-1.23,0.00,1.00,4,0.79,1,0
6.40,-0.63,0.00,0.65,1,0.84,0,0
3.12,0.00,0.00,0.50,1,0.76,0,0
2.87,-0.90,0.00,0.93,2,0.84,0,0
1.65,0.00,0.10,0.40,4,0.96,0,0
0.00,-0.63,0.00,1.00,5,0.79,0,0
4.38,-0.31,0.14,0.05,1,0.66,0,0
8.56,-1.17,0.12,0.55,1,0.90,0,0
5.80,-0.36,0.06,0.53,1,0.80,0,0
3.48,-1.18,0.00,0.79,2,0.90,0,0
10.57,-0.33,0.03,0.73,1,0.78,0,0
1.07,0.00,0.05,0.00,3,0.90,0,0
2.85,0.00,0.00,0.75,1,0.86,1,0
2.02,-0.23,0.00,0.29,1,0.77,0,0
0.30,-0.40,0.00,0.75,3,0.65,0,0
2.06,0.00,0.00,1.00,1,0.91,0,0
2.17,-0.05,0.00,0.10,1,0.76,0,0
1.32,-0.85,0.00,0.00,3,0.86,0,0
5.37,-3.27,0.07,1.13,3,0.85,0,0
4.20,-0.20,0.00,0.38,1,0.73,0,0
2.00,-0.20,0.11,0.33,4,0.79,0,0
2.37,-0.63,0.00,0.24,3,0.80,0,0
1.68,0.00,0.00,0.00,1,0.78,0,0
2.17,-1.30,0.00,0.18,4,0.93,0,0
5.55,-1.00,0.16,1.63,1,0.73,0,0
2.66,-1.02,0.11,0.50,4,0.83,0,0
5.73,-0.34,0.06,0.50,1,0.82,0,0
5.04,0.00,0.00,0.13,1,0.72,0,0
4.21,0.00,0.00,0.17,1,0.70,0,0
0.00,0.00,0.00,0.00,2,0.85,0,0
4.96,-0.55,0.08,0.58,4,0.85,0,0
6.61,-2.94,0.00,0.13,3,0.83,0,0
11.46,-1.26,0.02,0.80,1,0.82,0,0
7.56,-4.36,0.06,0.82,4,0.89,0,0
16.45,-1.43,0.04,0.47,1,0.80,0,0
1.65,-0.20,0.00,0.56,1,0.82,0,0
6.70,-0.45,0.52,0.72,1,0.72,0,0
4.35,-3.54,0.05,0.51,4,0.88,0,0
15.64,-2.89,0.02,0.85,4,0.89,0,0
23.62,-1.97,0.00,0.43,4,0.90,0,0
14.63,-11.31,0.02,0.52,1,0.74,1,0
7.56,-4.36,0.06,0.82,4,0.89,0,0
7.51,-0.30,0.04,0.50,1,0.80,0,0
8.94,-1.13,0.03,0.45,1,0.79,0,0
1.65,-0.20,0.00,0.56,1,0.82,0,0
6.70,-0.45,0.52,0.72,1,0.72,0,0
2.20,-1.81,0.12,0.53,4,0.87,0,0
2.15,-1.73,0.00,0.50,3,0.89,0,0
9.28,-8.61,0.02,0.66,1,0.80,1,0
8.02,-1.85,0.03,0.33,4,0.89,0,0
0.70,-1.95,0.00,0.11,4,0.99,0,0
4.57,-0.88,0.00,0.73,4,0.88,0,0
3.28,-0.46,0.06,0.41,3,0.90,0,0
3.64,-1.08,0.00,0.14,1,0.94,0,0
13.32,-0.33,0.00,0.29,1,0.85,0,0
4.44,-0.73,0.00,0.28,1,0.67,0,0
8.80,-1.11,0.02,0.92,4,0.88,0,0
9.74,-0.49,0.00,0.60,3,0.87,0,0
3.20,-0.30,0.00,0.17,1,0.67,0,0
9.77,-1.93,0.02,0.02,1,0.74,0,0
7.54,-4.45,0.02,0.26,4,0.86,0,0
2.74,-3.00,0.00,0.23,4,0.87,0,0
8.11,-1.75,0.05,0.40,1,0.72,0,0
7.07,-1.85,0.06,0.58,4,0.83,0,0
0.80,0.00,0.00,0.50,1,0.76,0,0
2.30,-0.10,0.00,0.00,2,0.96,0,0
16.45,-1.43,0.04,0.47,1,0.80,0,0
1.65,-0.20,0.00,0.56,1,0.82,0,0
6.70,-0.45,0.52,0.72,1,0.72,0,0
3.28,-0.46,0.06,0.41,3,0.90,0,0
